Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dominica,DMA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,10.1298336,10.76824206,9.601393013,8.506064637,7.375312159,7.793171085,9.975400882,9.17904136,17.40792797,12.8382871,24.09300182,19.71163079,18.59017236,23.26546752,35.78351422,28.2555276,32.17281387,21.24615698,27.88729714,30.09900847,30.38910744,37.88216764,54.03600982,55.86439857,54.75935541,68.11616647,51.6686417,42.96459241,55.77403589,60.20927793,,,,,,,,,,,,,,,,
Dominican Republic,DOM,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56873966,0.520720219,0.345515628,0.242864883,0.210233385,0.163015048,0.137335585,0.080578152,0.071614509,0.053400064,0.065634833,0.065389201,0.09838953,0.07979309,0.084305056,0.078709968,0.08676963,0.258807525,0.21097158,0.213756327,,
East Asia & Pacific (excluding high income),EAP,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8594864,32.59834475,27.63100592,47.72074016,115.7282189,37.93993227,68.41297343,67.89119833,49.15227132,49.60342986,46.33773787,60.58290874,72.92041961,66.04282626,72.69391604,49.41509557,61.3618207,
Early-demographic dividend,EAR,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.22352942,34.55110704,25.03406413,38.77544681,27.28580764,22.16223136,23.16652238,35.10036017,44.62477434,50.28961789,60.53544175,81.33397707,35.11822664,63.58856816,65.55593869,45.50483178,53.12623465,53.60382513,56.08266237,51.81934448,53.91752854,65.34171952,56.72298992,82.98600931,
East Asia & Pacific,EAS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,4.567061598,28.66064395,37.18024966,36.75814244,34.45990418,41.73960183,44.55312298,61.0579865,81.11149763,100.1889087,113.1652546,123.9221237,82.2835264,76.78780174,57.5267261,74.43399576,77.5724003,68.25370585,70.24288302,51.94343551,65.87228639,103.1801388,70.56718726,63.62747807,60.49744421,70.97193888,75.40733576,86.25931166,102.4982272,132.7811805,60.72920575,92.32981696,94.7452398,70.65878472,75.52895472,82.42707945,89.72378784,99.76903737,94.49517891,110.9333831,83.35940796,97.50929998,
Europe & Central Asia (excluding high income),ECA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.07372501,49.73288108,31.15848863,35.45047628,28.52642463,19.55500133,25.62612238,36.61350705,33.32355937,27.8717462,,
Europe & Central Asia,ECS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,16.07538648,14.05018699,16.10315432,16.45192194,10.12463992,8.777397467,13.97843963,14.53397766,18.30802704,21.60946805,32.32991359,35.26701285,33.7872651,35.12786952,44.71596744,34.48376093,38.18392206,32.4136207,43.05312579,43.485131,43.46080539,52.80461895,68.77870814,80.46726294,97.48012893,98.56679838,78.18346421,60.48636629,68.23720101,69.88804048,72.05780581,89.22162939,89.00691593,41.48764029,60.46617215,61.39853777,45.77323752,55.53101525,63.04009684,55.9701516,,64.72871896,75.14163179,,,
Ecuador,ECU,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50060219,7.968241771,7.177388659,5.560738083,2.657127797,4.075783407,,,,,,,,,,,,,,,,,,,,
