"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1996:Q4","Next9",33.3,30.9,26.3,20.8,33.7,39.1,28.4,30.1,16.6,18.8,8.7,25
"1996:Q4","Next40",35.1,36.2,47.8,42.1,16.5,46.9,18.1,30.9,42.8,45.8,36.6,30.8
"1996:Q4","Bottom50",3.4,8.1,15.5,23.5,1.5,4.4,2,5.4,36.1,30.7,53.7,21.7
"1997:Q1","Top1",27.8,24.6,10.5,13.6,47.8,9.7,49.3,33.2,4.8,4.6,1.2,23
"1997:Q1","Next9",33.8,31.4,26.6,20.8,33.8,39,31.8,30.3,16.9,19,8.8,25.7
"1997:Q1","Next40",34.9,36,47.6,42.3,16.8,46.9,16.7,31.1,43,46.1,36.3,31.8
"1997:Q1","Bottom50",3.5,8.1,15.4,23.3,1.5,4.3,2.2,5.4,35.4,30.2,53.6,19.5
"1997:Q2","Top1",28.2,24.9,10.5,13.4,48.3,9.8,49.8,32.4,4.8,4.7,1.2,23
"1997:Q2","Next9",33.6,31.3,26.5,21.1,33.9,38.9,30.3,30.6,17.1,19.2,9,27.2
"1997:Q2","Next40",34.7,35.8,47.7,42.3,16.4,46.8,17.7,31.6,43.2,46.4,36.3,32.6
"1997:Q2","Bottom50",3.5,7.9,15.3,23.2,1.4,4.5,2.1,5.4,34.9,29.8,53.5,17.3
"1997:Q3","Top1",28.2,25,10.4,13.1,48.2,10,49.2,32,4.8,4.7,1.3,22.8
"1997:Q3","Next9",33.8,31.5,26.6,21.5,34,38.8,30.9,30.7,17.5,19.4,9.2,30.2
"1997:Q3","Next40",34.4,35.6,47.4,42.4,16.4,46.8,17.7,31.9,43.3,46.6,36.3,32
"1997:Q3","Bottom50",3.6,7.9,15.6,23.1,1.4,4.5,2.2,5.4,34.5,29.3,53.3,15
"1997:Q4","Top1",28.1,24.9,10.4,13.3,47.9,9.9,48,31.9,4.9,4.7,1.1,23.4
"1997:Q4","Next9",34.1,31.8,27.2,21.2,34.1,38.8,32.6,30.5,17.7,19.7,9.4,30
"1997:Q4","Next40",34.2,35.5,46.9,42.6,16.6,46.8,17.1,32.2,43.5,46.9,36.4,33.2
"1997:Q4","Bottom50",3.6,7.8,15.5,23,1.4,4.5,2.3,5.3,33.9,28.6,53.1,13.3
"1998:Q1","Top1",28.3,25.2,10.4,13.2,48.3,9.8,47.1,31.6,5,4.7,1.3,23.5
"1998:Q1","Next9",34.3,32.2,27.3,21.4,34.1,38.8,33.9,31.1,18.2,20.1,9.6,31
"1998:Q1","Next40",33.6,35,46.7,42.6,16.2,46.7,16.7,32.1,43.7,47.2,36.2,33.9
"1998:Q1","Bottom50",3.7,7.7,15.6,22.9,1.4,4.6,2.3,5.2,33.1,28,53,11.6
"1998:Q2","Top1",28.4,25.2,10.8,13,48,9.7,47.4,31.9,5,4.7,1.2,23.7
"1998:Q2","Next9",34.3,32.1,27.2,21.5,34.2,38.9,32.8,31.2,18.3,20.2,9.7,32.5
"1998:Q2","Next40",33.8,35.2,47.1,42.7,16.4,46.8,17.6,31.8,43.8,47.3,36.2,33.9
"1998:Q2","Bottom50",3.5,7.5,14.9,22.7,1.4,4.6,2.3,5.1,32.9,27.7,52.9,9.8
"1998:Q3","Top1",27.8,24.7,10.7,12,46.9,9.8,46.9,32.8,5,4.8,1.2,24.9
"1998:Q3","Next9",34.2,32,26.7,22.4,34.3,38.9,33.2,31,18.5,20.4,9.8,32.4
"1998:Q3","Next40",34.4,35.7,47.5,43.1,17.3,46.9,17.6,31.1,44,47.5,36.2,34.6
"1998:Q3","Bottom50",3.6,7.6,15.1,22.5,1.4,4.4,2.3,5,32.5,27.4,52.8,8.1
"1998:Q4","Top1",27.9,24.8,10.9,13.1,47,9.1,46.5,31.4,5,4.8,1.2,24.5
"1998:Q4","Next9",34.6,32.4,27.2,21.5,34.6,39.3,33.7,31.2,18.3,20.2,9.6,32.3
"1998:Q4","Next40",34,35.4,47.1,42.7,17,47,17.5,32.3,44.1,47.6,36.5,34.6
"1998:Q4","Bottom50",3.5,7.4,14.8,22.7,1.4,4.5,2.3,5.1,32.6,27.4,52.7,8.6
"1999:Q1","Top1",27.6,24.6,11,13.3,46.4,9,46.9,31.5,5.1,4.8,1.3,24.6
"1999:Q1","Next9",34.7,32.4,27.1,21.4,34.9,39.5,33,31.6,18.1,20,9.5,32.9
"1999:Q1","Next40",34.1,35.5,47,42.6,17.3,46.8,17.9,31.9,44.1,47.7,36.5,33.7
"1999:Q1","Bottom50",3.5,7.5,14.9,22.7,1.4,4.6,2.1,5.1,32.6,27.6,52.8,8.8
"1999:Q2","Top1",27.9,24.8,11,14,46.3,8.8,48,31.1,5,4.8,1.3,22.9
"1999:Q2","Next9",34.7,32.5,27.4,20.9,35,39.8,31.3,31.8,18.1,19.8,9.3,34.7
"1999:Q2","Next40",34,35.4,46.7,42.4,17.3,46.8,18.8,32,44.2,47.7,36.6,32.9
"1999:Q2","Bottom50",3.5,7.4,14.9,22.8,1.4,4.7,1.9,5.1,32.7,27.7,52.7,9.4
"1999:Q3","Top1",27.6,24.5,11,13.9,45.5,9.1,48.3,31.1,5,4.8,1.3,23
"1999:Q3","Next9",34.6,32.3,27.3,20.9,35.3,39.7,31.3,31.4,18,19.7,9.1,35.3
"1999:Q3","Next40",34.2,35.6,46.7,42.5,17.8,46.6,18.6,32.3,44.2,47.8,36.9,32.1
"1999:Q3","Bottom50",3.5,7.6,15,22.7,1.4,4.5,1.8,5.2,32.7,27.7,52.7,9.6
"1999:Q4","Top1",28.1,25,11.2,14.6,46.3,8.7,48.4,29.6,4.9,4.9,1.1,20.2
"1999:Q4","Next9",34.6,32.4,27.4,20.4,35.3,40.2,31.4,30.5,18.5,20,9,38
"1999:Q4","Next40",33.8,35.2,46.6,42.2,17.1,46.4,18.5,34.5,44.3,47.9,37.3,31.5
"1999:Q4","Bottom50",3.5,7.3,14.8,22.9,1.3,4.7,1.7,5.5,32.3,27.2,52.6,10.2
"2000:Q1","Top1",28.4,25.3,11.4,14.8,46.3,8.7,49.2,30.4,4.9,5,1,17.1
"2000:Q1","Next9",34.7,32.6,27.4,20.2,35.4,40.5,30.4,31.5,19.1,20.4,8.9,40.9
"2000:Q1","Next40",33.4,34.9,46.5,42.1,17,46.2,18.9,32.7,44.3,48,37.5,31.1
"2000:Q1","Bottom50",3.5,7.3,14.7,22.9,1.3,4.7,1.5,5.4,31.7,26.6,52.5,11
"2000:Q2","Top1",28.1,24.9,11.6,15,45.5,8.7,49.8,30.4,4.9,5,0.9,18
"2000:Q2","Next9",34.6,32.5,27.4,20,35.6,40.7,29.5,31.5,18.9,20.4,8.8,40.3
"2000:Q2","Next40",33.8,35.3,46.7,42.2,17.5,46,19.3,32.6,44.5,48.1,37.8,30.7
"2000:Q2","Bottom50",3.5,7.3,14.3,22.9,1.4,4.6,1.4,5.5,31.8,26.6,52.5,10.9
"2000:Q3","Top1",27.7,24.6,11.7,14.8,45,8.6,48.7,30.3,4.8,5,0.8,17.9
"2000:Q3","Next9",34.9,32.7,27.2,20.1,35.8,41,32.1,30.9,18.8,20.4,8.6,40.8
"2000:Q3","Next40",33.9,35.4,46.7,42.2,17.8,45.9,17.7,33.3,44.6,48.1,38.2,30.3
"2000:Q3","Bottom50",3.5,7.4,14.5,22.9,1.4,4.5,1.5,5.5,31.8,26.5,52.4,11
"2000:Q4","Top1",27.2,24,11.9,15.2,43.6,8.5,48.6,31,4.8,5,0.6,20.3
"2000:Q4","Next9",35,32.6,27.4,19.6,36.2,41.2,32.5,30.6,18.3,20.2,8.5,38.7
"2000:Q4","Next40",34.5,35.9,46.7,42.3,18.8,46,17.4,32.9,44.7,48.2,38.5,29.9
"2000:Q4","Bottom50",3.4,7.4,14,22.9,1.4,4.3,1.5,5.4,32.2,26.6,52.4,11
"2001:Q1","Top1",26.6,23.5,12.4,15.3,42.1,8.1,49,31.5,4.9,5,0.7,23.2
"2001:Q1","Next9",34.9,32.5,27.3,19.3,36.6,41.5,32.1,31,18,20.1,8.3,36.7
"2001:Q1","Next40",35.2,36.6,47,42.5,19.8,46.4,17.6,32.2,44.9,48.2,38.6,29.6
"2001:Q1","Bottom50",3.2,7.4,13.3,22.8,1.5,4,1.4,5.3,32.2,26.6,52.4,10.6
"2001:Q2","Top1",26.5,23.4,12.4,15.5,42.1,7.4,49.2,31.2,4.9,5,0.8,23.3
"2001:Q2","Next9",35.3,32.8,27.4,19.2,36.7,42,31.6,31.5,17.7,19.8,8.2,36.9
"2001:Q2","Next40",35.1,36.5,46.8,42.4,19.8,46.6,17.8,32,44.9,48.1,38.6,29.1
"2001:Q2","Bottom50",3.1,7.3,13.4,22.8,1.5,4,1.4,5.3,32.5,27,52.4,10.7
"2001:Q3","Top1",25.9,22.8,12.4,15.3,40.3,7,49.1,31.9,4.8,5.1,0.7,19.3
"2001:Q3","Next9",35.2,32.7,27.3,19.3,37.1,42.4,31.7,31.5,18.3,20.1,8.1,40.4
"2001:Q3","Next40",35.7,37.1,46.8,42.6,21.1,46.9,17.8,31.4,44.8,48.1,38.9,28.7
"2001:Q3","Bottom50",3.1,7.5,13.5,22.7,1.5,3.7,1.3,5.2,32.1,26.7,52.3,11.5
"2001:Q4","Top1",25.9,22.8,12.7,15.5,41.4,6.3,49.5,30.6,4.9,5.1,0.8,25.2
"2001:Q4","Next9",35.3,32.6,27.2,19.3,36.9,42.9,30.4,31,17.2,19.1,8.1,36.8
"2001:Q4","Next40",35.9,37.3,46.9,42.5,20.3,47.1,18.8,33.2,45.2,48.6,38.9,27.6
"2001:Q4","Bottom50",2.9,7.3,13.1,22.7,1.4,3.7,1.3,5.2,32.7,27.2,52.2,10.4
"2002:Q1","Top1",26,22.9,13,15.6,41.7,6.3,49.8,30.5,5.1,5.1,0.9,27.3
"2002:Q1","Next9",35.3,32.6,27.3,19.3,36.8,43.1,29.5,31.4,17.2,19.2,8.1,36
"2002:Q1","Next40",35.9,37.3,46.9,42.5,20.1,47,19.5,33,45.6,49.1,38.9,26.8
"2002:Q1","Bottom50",2.9,7.2,12.8,22.6,1.4,3.6,1.2,5.1,32.1,26.5,52.1,9.9
