"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"2019:Q2","Next9",41348809,44220091,8966585,1194241,9585746,12877942,3908908,7686669,2871283,2468986,274689,127608
"2019:Q2","Next40",30864734,37501669,12671529,2372736,2981363,11697298,1572835,6205907,6636934,5003950,1428927,204057
"2019:Q2","Bottom50",1795007,6656807,3374597,1312940,160066,791810,191377,826018,4861800,2296624,2271633,293543
"2019:Q3","Top1",33504461,34242759,4313999,754126,14231032,1590578,6445558,6907466,738297,525636,64415,148246
"2019:Q3","Next9",41818163,44725012,9020547,1235348,9662514,12984759,4035306,7786538,2906849,2508854,275215,122780
"2019:Q3","Next40",31091202,37791813,12758863,2394857,2991745,11789557,1581748,6275043,6700611,5044264,1453901,202446
"2019:Q3","Bottom50",1898287,6823258,3517461,1326557,158937,801566,199156,819581,4924971,2307277,2323813,293881
"2019:Q4","Top1",34916591,35653413,4341231,759754,15384214,1551050,6576666,7040498,736822,528763,61512,146547
"2019:Q4","Next9",43011904,45957302,9098685,1249741,10371983,13305393,3936290,7995210,2945398,2531592,280544,133263
"2019:Q4","Next40",31868114,38634534,12899135,2400046,3187926,12045109,1634750,6467568,6766420,5072486,1481202,212732
"2019:Q4","Bottom50",2004901,6986567,3589223,1340584,170926,843414,190690,851731,4981666,2322072,2357310,302284
"2020:Q1","Top1",31386583,32131983,4393858,736036,11443969,1590966,6601986,7365168,745400,531445,65969,147987
"2020:Q1","Next9",40305800,43277811,9196287,1270093,7980258,12647001,3982308,8201864,2972010,2552084,275631,144295
"2020:Q1","Next40",31053399,37841606,13083341,2450258,2562603,11533307,1632691,6579407,6788207,5095853,1459280,233074
"2020:Q1","Bottom50",1902335,6897457,3639222,1341797,130792,727367,193800,864478,4995122,2332160,2339029,323933
"2020:Q2","Top1",34229985,34979101,4498575,756770,14042018,1503187,6591986,7586565,749116,535001,68407,145708
"2020:Q2","Next9",43092322,46091874,9304479,1270391,9582002,13342607,4008752,8583641,2999553,2576865,270599,152088
"2020:Q2","Next40",32648427,39445873,13339122,2436162,3002432,12062859,1627617,6977681,6797447,5128823,1433402,235221
"2020:Q2","Bottom50",2081547,7062551,3619035,1356157,157767,810723,195939,922930,4981005,2351669,2306673,322663
